timestamp,pri,severity,facility,hostname,alert_type,kpi_value,description,recommended_action
2025-12-09 04:14:00,53,Notice,auth,Core-Router01,Hardware Fault,Latency: 390ms (threshold: 100ms),"%OSPF-5-ADJCHG: Process 1, Nbr Latency: 390ms (threshold: 100ms) on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Rollback config change.
2025-12-09 04:16:00,51,Error,auth,Core-Router01,Interface Flap,Latency: 390ms (threshold: 100ms),Fiber cut detected on transport link Latency: 390ms (threshold: 100ms).,Clear adjacency and restart process.
2025-12-09 04:17:00,47,Debug,daemon,Optical-Switch02,Packet Loss,Packet Loss: 4.2593980335317365%,Network complexity due to high KPIs and logs. KPI: Packet Loss: 4.2593980335317365%.,Analyze with SemCom for intent.
2025-12-09 04:52:00,24,Emergency,local0,RAN-Cell72393,Config Mismatch,Throughput: 117Mbps,"Alarm: Drop in neighbors, check interfaces Throughput: 117Mbps.",Run diagnostics on device.
2025-12-09 05:07:00,50,Critical,auth,Optical-Switch02,Downtime,Packet Loss: 4.2593980335317365%,"%OSPF-5-ADJCHG: Process 1, Nbr Packet Loss: 4.2593980335317365% on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Clear adjacency and restart process.
2025-12-09 05:52:00,26,Critical,local0,Core-Router01,High Latency,Throughput: 117Mbps,Root cause: Configuration error in RAN module. Interface Throughput: 117Mbps.,Clear adjacency and restart process.
2025-12-09 06:34:00,8,Emergency,user,RAN-Cell72393,Cell Outage,Packet Loss: 4.2593980335317365%,Root cause: Configuration error in RAN module. Interface Packet Loss: 4.2593980335317365%.,Run diagnostics on device.
2025-12-09 06:39:00,41,Alert,daemon,Optical-Switch02,BGP Peer Down,Packet Loss: 4.2593980335317365%,"Alarm: Drop in neighbors, check interfaces Packet Loss: 4.2593980335317365%.",Analyze with SemCom for intent.
2025-12-09 06:57:00,19,Error,mail,RAN-Cell72393,Cell Outage,Packet Loss: 4.2593980335317365%,"%LINK-3-UPDOWN: Interface Packet Loss: 4.2593980335317365%, changed state to down.",Analyze with SemCom for intent.
2025-12-09 07:54:00,55,Debug,auth,Edge-FW03,Anomaly in KPI,Drop Rate: 0.46380946350321695%,Predictive maintenance needed for core network. Check Drop Rate: 0.46380946350321695%.,Schedule hardware replacement.
2025-12-09 08:09:00,9,Alert,user,Optical-Switch02,Connection Slow,Latency: 390ms (threshold: 100ms),"Alarm: Drop in neighbors, check interfaces Latency: 390ms (threshold: 100ms).",Run diagnostics on device.
2025-12-09 08:25:00,11,Error,user,RAN-Cell72393,Interface Flap,Packet Loss: 4.2593980335317365%,"%OSPF-5-ADJCHG: Process 1, Nbr Packet Loss: 4.2593980335317365% on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Run diagnostics on device.
2025-12-09 09:07:00,41,Alert,daemon,Optical-Switch02,BGP Peer Down,Drop Rate: 0.46380946350321695%,Network complexity due to high KPIs and logs. KPI: Drop Rate: 0.46380946350321695%.,Escalate to L2 support.
2025-12-09 09:13:00,44,Warning,daemon,RAN-Cell72393,BGP Peer Down,Throughput: 117Mbps,Predictive maintenance needed for core network. Check Throughput: 117Mbps.,Schedule hardware replacement.
2025-12-09 09:18:00,8,Emergency,user,RAN-Cell72393,Config Mismatch,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Run diagnostics on device.
2025-12-09 09:23:00,12,Warning,user,Edge-FW03,Diameter Failure,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Rollback config change.
2025-12-09 09:51:00,21,Notice,mail,Edge-FW03,Config Mismatch,Latency: 390ms (threshold: 100ms),Root cause: Configuration error in RAN module. Interface Latency: 390ms (threshold: 100ms).,Check logs for anomalies.
2025-12-09 10:36:00,2,Critical,kernel,Core-Router01,Hardware Fault,Latency: 390ms (threshold: 100ms),Root cause: Configuration error in RAN module. Interface Latency: 390ms (threshold: 100ms).,Initiate self-healing agent.
2025-12-09 11:17:00,1,Alert,kernel,Core-Router01,Config Mismatch,Drop Rate: 0.46380946350321695%,Diameter peer failure in core network.,Clear adjacency and restart process.
2025-12-09 11:45:00,24,Emergency,local0,Core-Router01,Capacity Exhaustion,Drop Rate: 0.46380946350321695%,Diameter peer failure in core network.,Rollback config change.
2025-12-09 12:45:00,7,Debug,kernel,Optical-Switch02,Cell Outage,Packet Loss: 4.2593980335317365%,Fiber cut detected on transport link Packet Loss: 4.2593980335317365%.,Analyze with SemCom for intent.
2025-12-09 13:44:00,52,Warning,auth,Optical-Switch02,Cell Outage,Latency: 390ms (threshold: 100ms),Fiber cut detected on transport link Latency: 390ms (threshold: 100ms).,Schedule hardware replacement.
2025-12-09 14:05:00,17,Alert,mail,RAN-Cell72393,Downtime,Drop Rate: 0.46380946350321695%,Diameter peer failure in core network.,Rollback config change.
2025-12-09 14:56:00,29,Notice,local0,Optical-Switch02,Packet Loss,Drop Rate: 0.46380946350321695%,Network complexity due to high KPIs and logs. KPI: Drop Rate: 0.46380946350321695%.,Rollback config change.
2025-12-09 15:37:00,47,Debug,daemon,Optical-Switch02,Cell Outage,Throughput: 117Mbps,Network complexity due to high KPIs and logs. KPI: Throughput: 117Mbps.,Rollback config change.
2025-12-09 15:47:00,17,Alert,mail,Optical-Switch02,Config Mismatch,Packet Loss: 4.2593980335317365%,Fiber cut detected on transport link Packet Loss: 4.2593980335317365%.,Rollback config change.
2025-12-09 15:52:00,53,Notice,auth,Core-Router01,Hardware Fault,Drop Rate: 0.46380946350321695%,"Alarm: Drop in neighbors, check interfaces Drop Rate: 0.46380946350321695%.",Run diagnostics on device.
2025-12-09 16:16:00,7,Debug,kernel,Edge-FW03,Connection Slow,Latency: 390ms (threshold: 100ms),High CPU utilization on Latency: 390ms (threshold: 100ms). KPI anomaly detected.,Schedule hardware replacement.
2025-12-09 17:02:00,37,Notice,local1,Edge-FW03,Downtime,Throughput: 117Mbps,Fiber cut detected on transport link Throughput: 117Mbps.,Run diagnostics on device.
2025-12-09 17:52:00,5,Notice,kernel,Edge-FW03,Downtime,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Run diagnostics on device.
2025-12-09 18:22:00,36,Warning,local1,RAN-Cell72393,Packet Loss,Packet Loss: 4.2593980335317365%,High CPU utilization on Packet Loss: 4.2593980335317365%. KPI anomaly detected.,Analyze with SemCom for intent.
2025-12-09 18:27:00,31,Debug,local0,Optical-Switch02,Config Mismatch,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Schedule hardware replacement.
2025-12-09 18:34:00,16,Emergency,mail,RAN-Cell72393,Diameter Failure,Drop Rate: 0.46380946350321695%,"%OSPF-5-ADJCHG: Process 1, Nbr Drop Rate: 0.46380946350321695% on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Analyze with SemCom for intent.
2025-12-09 18:38:00,11,Error,user,Optical-Switch02,Packet Loss,Throughput: 117Mbps,Root cause: Configuration error in RAN module. Interface Throughput: 117Mbps.,Schedule hardware replacement.
2025-12-09 19:18:00,5,Notice,kernel,RAN-Cell72393,Diameter Failure,Drop Rate: 0.46380946350321695%,"%OSPF-5-ADJCHG: Process 1, Nbr Drop Rate: 0.46380946350321695% on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Initiate self-healing agent.
2025-12-09 19:22:00,36,Warning,local1,Core-Router01,High Latency,Throughput: 117Mbps,High CPU utilization on Throughput: 117Mbps. KPI anomaly detected.,Clear adjacency and restart process.
2025-12-09 19:55:00,55,Debug,auth,Edge-FW03,Packet Loss,Latency: 390ms (threshold: 100ms),"%OSPF-5-ADJCHG: Process 1, Nbr Latency: 390ms (threshold: 100ms) on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Clear adjacency and restart process.
2025-12-09 20:10:00,38,Info,local1,Optical-Switch02,Anomaly in KPI,Packet Loss: 4.2593980335317365%,Fiber cut detected on transport link Packet Loss: 4.2593980335317365%.,Schedule hardware replacement.
2025-12-09 21:07:00,14,Info,user,Edge-FW03,High Latency,Packet Loss: 4.2593980335317365%,Network complexity due to high KPIs and logs. KPI: Packet Loss: 4.2593980335317365%.,Analyze with SemCom for intent.
2025-12-09 21:10:00,24,Emergency,local0,Edge-FW03,Packet Loss,Packet Loss: 4.2593980335317365%,High CPU utilization on Packet Loss: 4.2593980335317365%. KPI anomaly detected.,Schedule hardware replacement.
2025-12-09 22:07:00,15,Debug,user,Edge-FW03,Hardware Fault,Packet Loss: 4.2593980335317365%,Network complexity due to high KPIs and logs. KPI: Packet Loss: 4.2593980335317365%.,Escalate to L2 support.
2025-12-09 22:33:00,53,Notice,auth,Edge-FW03,Packet Loss,Packet Loss: 4.2593980335317365%,Root cause: Configuration error in RAN module. Interface Packet Loss: 4.2593980335317365%.,Clear adjacency and restart process.
2025-12-09 23:28:00,14,Info,user,RAN-Cell72393,Config Mismatch,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Clear adjacency and restart process.
2025-12-09 23:52:00,51,Error,auth,RAN-Cell72393,ISIS Neighbor Drop,Throughput: 117Mbps,Root cause: Configuration error in RAN module. Interface Throughput: 117Mbps.,Escalate to L2 support.
2025-12-10 00:44:00,34,Critical,local1,Core-Router01,High Latency,Packet Loss: 4.2593980335317365%,Predictive maintenance needed for core network. Check Packet Loss: 4.2593980335317365%.,Clear adjacency and restart process.
2025-12-10 01:02:00,6,Info,kernel,Core-Router01,Packet Loss,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Check logs for anomalies.
2025-12-10 01:09:00,24,Emergency,local0,Edge-FW03,Connection Slow,Latency: 390ms (threshold: 100ms),"%OSPF-5-ADJCHG: Process 1, Nbr Latency: 390ms (threshold: 100ms) on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Schedule hardware replacement.
2025-12-10 01:36:00,49,Alert,auth,Optical-Switch02,Capacity Exhaustion,Latency: 390ms (threshold: 100ms),High CPU utilization on Latency: 390ms (threshold: 100ms). KPI anomaly detected.,Clear adjacency and restart process.
2025-12-10 02:23:00,28,Warning,local0,Optical-Switch02,BGP Peer Down,Throughput: 117Mbps,"%OSPF-5-ADJCHG: Process 1, Nbr Throughput: 117Mbps on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Check logs for anomalies.
2025-12-10 03:16:00,11,Error,user,RAN-Cell72393,High Latency,Drop Rate: 0.46380946350321695%,"%OSPF-5-ADJCHG: Process 1, Nbr Drop Rate: 0.46380946350321695% on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Schedule hardware replacement.
2025-12-10 03:16:00,22,Info,mail,RAN-Cell72393,Packet Loss,Throughput: 117Mbps,Fiber cut detected on transport link Throughput: 117Mbps.,Schedule hardware replacement.
2025-12-10 03:40:00,51,Error,auth,Core-Router01,Diameter Failure,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Escalate to L2 support.
2025-12-10 04:00:00,29,Notice,local0,RAN-Cell72393,Interface Flap,Latency: 390ms (threshold: 100ms),Root cause: Configuration error in RAN module. Interface Latency: 390ms (threshold: 100ms).,Analyze with SemCom for intent.
2025-12-10 04:03:00,40,Emergency,daemon,Optical-Switch02,Fiber Cut,Drop Rate: 0.46380946350321695%,"%LINK-3-UPDOWN: Interface Drop Rate: 0.46380946350321695%, changed state to down.",Escalate to L2 support.
2025-12-10 04:03:00,23,Debug,mail,Core-Router01,Cell Outage,Throughput: 117Mbps,Fiber cut detected on transport link Throughput: 117Mbps.,Schedule hardware replacement.
2025-12-10 04:59:00,24,Emergency,local0,Optical-Switch02,Fiber Cut,Throughput: 117Mbps,Fiber cut detected on transport link Throughput: 117Mbps.,Check logs for anomalies.
2025-12-10 05:40:00,36,Warning,local1,Edge-FW03,Anomaly in KPI,Throughput: 117Mbps,Predictive maintenance needed for core network. Check Throughput: 117Mbps.,Schedule hardware replacement.
2025-12-10 05:44:00,8,Emergency,user,Edge-FW03,Connection Slow,Packet Loss: 4.2593980335317365%,Root cause: Configuration error in RAN module. Interface Packet Loss: 4.2593980335317365%.,Clear adjacency and restart process.
2025-12-10 06:29:00,21,Notice,mail,Edge-FW03,Downtime,Drop Rate: 0.46380946350321695%,Predictive maintenance needed for core network. Check Drop Rate: 0.46380946350321695%.,Rollback config change.
2025-12-10 06:30:00,47,Debug,daemon,RAN-Cell72393,ISIS Neighbor Drop,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Schedule hardware replacement.
2025-12-10 07:25:00,18,Critical,mail,Core-Router01,Config Mismatch,Latency: 390ms (threshold: 100ms),Fiber cut detected on transport link Latency: 390ms (threshold: 100ms).,Check logs for anomalies.
2025-12-10 07:50:00,12,Warning,user,Optical-Switch02,Anomaly in KPI,Throughput: 117Mbps,"%OSPF-5-ADJCHG: Process 1, Nbr Throughput: 117Mbps on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Schedule hardware replacement.
2025-12-10 07:59:00,44,Warning,daemon,Optical-Switch02,Downtime,Drop Rate: 0.46380946350321695%,"Alarm: Drop in neighbors, check interfaces Drop Rate: 0.46380946350321695%.",Run diagnostics on device.
2025-12-10 08:35:00,37,Notice,local1,Core-Router01,High Latency,Packet Loss: 4.2593980335317365%,Network complexity due to high KPIs and logs. KPI: Packet Loss: 4.2593980335317365%.,Rollback config change.
2025-12-10 09:12:00,6,Info,kernel,RAN-Cell72393,Anomaly in KPI,Packet Loss: 4.2593980335317365%,Diameter peer failure in core network.,Analyze with SemCom for intent.
2025-12-10 09:45:00,32,Emergency,local1,Core-Router01,Capacity Exhaustion,Latency: 390ms (threshold: 100ms),Root cause: Configuration error in RAN module. Interface Latency: 390ms (threshold: 100ms).,Run diagnostics on device.
2025-12-10 10:39:00,22,Info,mail,Core-Router01,Packet Loss,Packet Loss: 4.2593980335317365%,Diameter peer failure in core network.,Run diagnostics on device.
2025-12-10 11:01:00,26,Critical,local0,Core-Router01,BGP Peer Down,Packet Loss: 4.2593980335317365%,"Alarm: Drop in neighbors, check interfaces Packet Loss: 4.2593980335317365%.",Clear adjacency and restart process.
2025-12-10 11:40:00,53,Notice,auth,Core-Router01,Packet Loss,Throughput: 117Mbps,"%OSPF-5-ADJCHG: Process 1, Nbr Throughput: 117Mbps on Vlan100 from FULL to DOWN, NeighborDown: dead timer expired",Run diagnostics on device.
2025-12-10 12:33:00,16,Emergency,mail,Core-Router01,Config Mismatch,Drop Rate: 0.46380946350321695%,Diameter peer failure in core network.,Rollback config change.
2025-12-10 13:04:00,5,Notice,kernel,RAN-Cell72393,Hardware Fault,Drop Rate: 0.46380946350321695%,Fiber cut detected on transport link Drop Rate: 0.46380946350321695%.,Run diagnostics on device.
2025-12-10 13:16:00,31,Debug,local0,Core-Router01,High Latency,Packet Loss: 4.2593980335317365%,"Alarm: Drop in neighbors, check interfaces Packet Loss: 4.2593980335317365%.",Clear adjacency and restart process.
2025-12-10 13:53:00,19,Error,mail,Edge-FW03,Packet Loss,Packet Loss: 4.2593980335317365%,High CPU utilization on Packet Loss: 4.2593980335317365%. KPI anomaly detected.,Check logs for anomalies.
2025-12-10 14:16:00,42,Critical,daemon,RAN-Cell72393,Connection Slow,Throughput: 117Mbps,High CPU utilization on Throughput: 117Mbps. KPI anomaly detected.,Clear adjacency and restart process.
2025-12-10 14:42:00,40,Emergency,daemon,RAN-Cell72393,Capacity Exhaustion,Latency: 390ms (threshold: 100ms),Network complexity due to high KPIs and logs. KPI: Latency: 390ms (threshold: 100ms).,Initiate self-healing agent.
2025-12-10 14:56:00,32,Emergency,local1,RAN-Cell72393,Interface Flap,Drop Rate: 0.46380946350321695%,Root cause: Configuration error in RAN module. Interface Drop Rate: 0.46380946350321695%.,Escalate to L2 support.
2025-12-10 15:02:00,19,Error,mail,RAN-Cell72393,Anomaly in KPI,Latency: 390ms (threshold: 100ms),"%LINK-3-UPDOWN: Interface Latency: 390ms (threshold: 100ms), changed state to down.",Analyze with SemCom for intent.
2025-12-10 15:14:00,4,Warning,kernel,Core-Router01,Interface Flap,Latency: 390ms (threshold: 100ms),Diameter peer failure in core network.,Initiate self-healing agent.
2025-12-10 15:45:00,28,Warning,local0,RAN-Cell72393,High Latency,Packet Loss: 4.2593980335317365%,Diameter peer failure in core network.,Run diagnostics on device.
2025-12-10 16:04:00,45,Notice,daemon,Core-Router01,Packet Loss,Latency: 390ms (threshold: 100ms),Predictive maintenance needed for core network. Check Latency: 390ms (threshold: 100ms).,Analyze with SemCom for intent.
2025-12-10 16:15:00,1,Alert,kernel,Optical-Switch02,High Latency,Latency: 390ms (threshold: 100ms),High CPU utilization on Latency: 390ms (threshold: 100ms). KPI anomaly detected.,Clear adjacency and restart process.
2025-12-10 16:43:00,0,Emergency,kernel,Core-Router01,Connection Slow,Throughput: 117Mbps,High CPU utilization on Throughput: 117Mbps. KPI anomaly detected.,Clear adjacency and restart process.
2025-12-10 17:05:00,38,Info,local1,RAN-Cell72393,Config Mismatch,Drop Rate: 0.46380946350321695%,Root cause: Configuration error in RAN module. Interface Drop Rate: 0.46380946350321695%.,Analyze with SemCom for intent.
2025-12-10 17:05:00,48,Emergency,auth,RAN-Cell72393,Config Mismatch,Latency: 390ms (threshold: 100ms),Fiber cut detected on transport link Latency: 390ms (threshold: 100ms).,Check logs for anomalies.
2025-12-10 17:47:00,47,Debug,daemon,Edge-FW03,Config Mismatch,Packet Loss: 4.2593980335317365%,Network complexity due to high KPIs and logs. KPI: Packet Loss: 4.2593980335317365%.,Escalate to L2 support.
2025-12-10 18:37:00,9,Alert,user,RAN-Cell72393,Hardware Fault,Packet Loss: 4.2593980335317365%,High CPU utilization on Packet Loss: 4.2593980335317365%. KPI anomaly detected.,Run diagnostics on device.
2025-12-10 18:56:00,21,Notice,mail,Core-Router01,Hardware Fault,Throughput: 117Mbps,High CPU utilization on Throughput: 117Mbps. KPI anomaly detected.,Schedule hardware replacement.
